id,awb,courier,date,weight,zone,amount,cod,status
4090743,26022370056488,Shree Maruti,2026-08-06,1.5,Gujarat,44.84,0.0,delivered
4090747,77111879224,BlueDart,2026-08-06,0.5,Haryana,34.69,0.0,discrepancy
4090751,77111879250,BlueDart,2026-08-06,0.06,Tamil Nadu,34.69,0.0,delivered
4090755,26022370056490,Shree Maruti,2026-08-06,0.25,Gujarat,23.6,0.0,pending
4090759,77111879294,BlueDart,2026-08-06,0.16,Uttar Pradesh,34.69,0.0,delivered
4090763,500704170902,Trackon,2026-08-06,3.0,Telangana,54.28,0.0,in_transit
4090767,77111879331,BlueDart,2026-08-06,0.24,Maharashtra,34.69,0.0,delivered
4090771,DBTP0000027616,Ekart Logistics,2026-08-06,1.0,Maharashtra,37.76,0.0,pending
4090775,77111879946,BlueDart,2026-08-06,1.0,Haryana,43.37,0.0,delivered
4090779,DBLP0000033465,Ekart Logistics,2026-08-06,5.0,Delhi,96.76,0.0,delivered
4090783,77111880005,BlueDart,2026-08-06,0.03,West Bengal,34.69,0.0,pending
4090787,77111880016,BlueDart,2026-08-06,1.0,Maharashtra,43.37,0.0,delivered
4090791,DBTP0000027626,Ekart Logistics,2026-08-06,1.5,Bihar,37.76,0.0,pending
4090795,26022370056491,Shree Maruti,2026-08-06,0.25,Gujarat,23.6,0.0,delivered
4090799,77111880086,BlueDart,2026-08-06,0.14,Chhattisgarh,34.69,0.0,delivered
4090803,DBLP0000033469,Ekart Logistics,2026-08-06,30.0,West Bengal,539.26,0.0,pending
4090807,26022370056509,Shree Maruti,2026-08-06,0.5,Gujarat,23.6,0.0,delivered
4090811,26022370056510,Shree Maruti,2026-08-06,0.1,Gujarat,23.6,0.0,delivered
4090815,26022370056511,Shree Maruti,2026-08-06,0.19,Gujarat,23.6,0.0,delivered
4090819,DBLP0000033475,Ekart Logistics,2026-08-06,7.0,West Bengal,132.16,0.0,in_transit
4090823,77111881486,BlueDart,2026-08-06,0.02,Kerala,34.69,0.0,in_transit
4090826,DBLP0000033477,Ekart Logistics,2026-08-06,10.0,Maharashtra,185.26,0.0,pending
4090830,7D135997025,DTDC,2026-08-06,3.0,Punjab,79.06,0.0,in_transit
4090834,77111881560,BlueDart,2026-08-06,0.25,Maharashtra,34.69,0.0,delivered
4090837,7D135996897,DTDC,2026-08-06,0.5,Andhra Pradesh,29.5,0.0,in_transit
4090840,DBLP0000033481,Ekart Logistics,2026-08-06,4.0,Uttar Pradesh,79.06,0.0,in_transit
4090843,DBTP0000027646,Ekart Logistics,2026-08-06,0.51,Maharashtra,37.76,0.0,pending
4090846,500623283267,Trackon,2026-08-06,0.5,Uttar Pradesh,31.86,0.0,delivered
4090849,77111882923,BlueDart,2026-08-06,0.14,West Bengal,34.69,0.0,in_transit
4090852,77111882956,BlueDart,2026-08-06,0.5,Telangana,34.69,0.0,delivered
4090855,7D135996912,DTDC,2026-08-06,2.0,Maharashtra,66.08,0.0,delivered
4090858,77111882971,BlueDart,2026-08-06,0.25,Maharashtra,34.69,0.0,delivered
4090861,26022370056524,Shree Maruti,2026-08-06,0.5,Gujarat,23.6,0.0,in_transit
4090864,77111883004,BlueDart,2026-08-06,0.25,Uttar Pradesh,34.69,0.0,delivered
4090867,77111883026,BlueDart,2026-08-06,2.0,Maharashtra,64.43,0.0,delivered
4090870,DBTP0000027649,Ekart Logistics,2026-08-06,1.0,Assam,37.76,0.0,in_transit
4090873,26022370056529,Shree Maruti,2026-08-06,0.25,Gujarat,23.6,0.0,delivered
4090876,500704170722,Trackon,2026-08-06,3.0,Andhra Pradesh,54.28,0.0,in_transit
4090879,77111884150,BlueDart,2026-08-06,0.19,Maharashtra,34.69,0.0,pending
4090882,34791187071175,ShipRocket,2026-08-06,0.15,Uttarakhand,29.5,0.0,in_transit
4090885,DBTP0000027587,Ekart Logistics,2026-08-06,1.0,Uttar Pradesh,37.76,0.0,pending
4090888,DBTP0000027588,Ekart Logistics,2026-08-06,1.0,Kerala,37.76,0.0,in_transit
4090891,77111874674,BlueDart,2026-08-06,1.0,Uttar Pradesh,43.37,0.0,pending
4090894,77111874696,BlueDart,2026-08-06,0.25,Telangana,34.69,0.0,pending
4090897,500704170542,Trackon,2026-08-06,10.0,Gujarat,143.96,0.0,delivered
4090900,26022370056447,Shree Maruti,2026-08-06,2.0,Gujarat,44.84,0.0,delivered
4090903,77111874744,BlueDart,2026-08-06,0.5,Maharashtra,34.69,0.0,delivered
4090906,77111874803,BlueDart,2026-08-06,0.17,Gujarat,34.69,0.0,delivered
4090909,77111874840,BlueDart,2026-08-06,0.03,Madhya Pradesh,34.69,0.0,in_transit
4090912,77111874862,BlueDart,2026-08-06,5.0,Gujarat,99.12,0.0,delivered
4090915,7D135996856,DTDC,2026-08-06,6.0,Rajasthan,128.62,0.0,delivered
4090918,77111875886,BlueDart,2026-08-06,0.25,Uttar Pradesh,34.69,0.0,delivered
4090921,77111875890,BlueDart,2026-08-06,2.0,Maharashtra,64.43,0.0,delivered
4090924,7D135996859,DTDC,2026-08-06,2.0,Madhya Pradesh,66.08,0.0,in_transit
